dian	dan:0.75,qian:0.75,tian:0.75,dia:0.75,bian:0.75,pian:0.75,lian:0.75,diao:0.75,din:0.75,mian:0.75,xian:0.75,duan:0.75,jian:0.75,dian:1.0
ke	ke:1.0
kuan	suan:0.75,luan:0.75,huan:0.75,guan:0.75,xuan:0.75,kuai:0.75,kan:0.75,duan:0.75,ruan:0.75,kun:0.75,quan:0.75,tuan:0.75,yuan:0.75,cuan:0.75,kua:0.75,zuan:0.75,kuan:1.0,juan:0.75
wo	wo:1.0
pao	piao:0.75,pao:1.0
qun	quan:0.75,qun:1.0
zun	zuan:0.75,zun:1.0
yue	yue:1.0
pu	pu:1.0
mu	mu:1.0
juan	suan:0.75,luan:0.75,huan:0.75,jun:0.75,guan:0.75,xuan:0.75,duan:0.75,ruan:0.75,quan:0.75,tuan:0.75,yuan:0.75,cuan:0.75,zuan:0.75,jian:0.75,kuan:0.75,juan:1.0
cao	cao:1.0
fei	fei:1.0
bao	biao:0.75,bao:1.0
tui	tui:1.0
ca	ca:1.0
dao	diao:0.75,dao:1.0
bie	bie:1.0
men	men:1.0
lun	luan:0.75,lun:1.0
huo	huo:1.0
qin	qian:0.75,qin:1.0
sui	suai:0.75,sui:1.0
tong	rong:0.75,long:0.75,kong:0.75,song:0.75,cong:0.75,dong:0.75,zong:0.75,yong:0.75,hong:0.75,gong:0.75,tong:1.0
dou	dou:1.0
gua	guan:0.75,guai:0.75,gua:1.0
